Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
Paraguay,South Africa,Group Phase,2002-6-2,2,6,2002,2,2,18.0,671.0,37.0,623.0,0
England,Sweden,Group Phase,2002-6-2,2,6,2002,1,1,12.0,694.0,19.0,665.0,0
Spain,Slovenia,Group Phase,2002-6-2,2,6,2002,3,1,8.0,713.0,25.0,649.0,1
Brazil,Turkey,Group Phase,2002-6-3,3,6,2002,2,1,2.0,784.0,22.0,654.0,1
Italy,Ecuador,Group Phase,2002-6-3,3,6,2002,2,0,6.0,717.0,36.0,624.0,1
Croatia,Mexico,Group Phase,2002-6-3,3,6,2002,0,1,21.0,655.0,7.0,716.0,2
China,Costa Rica,Group Phase,2002-6-4,4,6,2002,0,2,50.0,566.0,29.0,643.0,2
Japan,Belgium,Group Phase,2002-6-4,4,6,2002,2,2,32.0,634.0,23.0,653.0,0
Korea Republic,Poland,Group Phase,2002-6-4,4,6,2002,2,0,40.0,603.0,38.0,615.0,1
Russia,Tunisia,Group Phase,2002-6-5,5,6,2002,2,0,28.0,644.0,31.0,635.0,1
USA,Portugal,Group Phase,2002-6-5,5,6,2002,3,2,13.0,690.0,5.0,726.0,1
